PCA1,PCA2,PCA3
-0.600667325437514,0.842760062485543,0.4615945681105943
-0.45826071401031837,0.4584656644628846,0.9528767837135826
-0.43306980513657223,-0.16812638169324998,-0.641751929140677
-0.4718349487389033,-0.22266007696009102,-0.47905315757557165
-1.1577999724406276,2.0412091852418435,1.8597152736981137
-0.5165337697386273,1.388377481862588,0.8040713050022817
-0.4507113399717322,0.5176991167274061,2.846143157475279
-0.3455997666169127,0.7294393945322922,1.4780128444941134
-0.649467921440576,0.43216513770740805,0.600302858810525
-0.7590139422969422,-0.20119978804155828,-0.21765291815350718
-0.24819846472379867,-1.3762515898012422,-1.4620257131124936
-0.4384076222360064,-0.1753365419688633,-0.6633884037364076
-0.693425333310006,-0.4738146235496425,-0.5275969255267902
0.06049914778110328,2.909403851836778,1.4985713063809947
-0.39335242578562873,-0.10819197462493957,-0.01275608021343203
-0.7961756359232395,-0.4944087524150429,1.0828116910517587
0.06407451856195141,-1.2698251355978067,-1.098829275075188
-0.4890150610215599,-0.7327191199192645,-0.06254323300898391
-0.30627229767490427,0.7034151468998119,1.7142235864193407
-0.513527753143792,-0.14280239241374507,-0.6565658346817504
-0.3621204360718914,-0.9869144080114626,-0.7287523216679125
-0.6042646308186971,0.8273976353815276,0.43931593833961186
-0.4132956035721624,-0.6741152680768139,-1.0766283383557338
-0.40748303584430506,-0.2125065470533896,-0.3514256276663246
0.6089738213442398,0.563532124070424,-1.1487415949964532
-0.4502111411067898,-0.1510194526657504,-0.647400611913107
-0.7646652213141074,-0.5178855387924589,0.20499029001818633
-0.5563146750187735,-1.9382090595380141,-1.2617758874503504
-0.4251467742977196,0.4929761725450832,1.05804837248703
2.6768676123254984,-0.013954099621350335,-1.9652072219391394
-0.6139227463582038,-0.47933680290429015,0.33956513273829064
-0.5799239778770799,-0.35633377052316306,-0.11494201872557679
8.08901821476559,-3.896890535486523,2.301382076493767
-0.3890452595780077,0.1650406340728046,0.3794136971555251
0.8657618298532864,-2.2618823859082133,0.27558289140280573
0.11167508357409602,0.42831576443907277,-1.2053979663131382
4.792395401459633,6.767678675262239,-1.986985447113525
-0.6323549165416774,-2.10811712833404,-0.6522273846771955
-0.5931421641297324,0.0214849624276368,0.20991141756366843
-0.458130502410271,-0.13573403362162367,-0.6352835704640616
-0.29791044507831704,-0.1911256024328075,-0.9096017298481481
